Rang;Type de document;Nombre de prêts;Titre ;Auteur
188.0;Bande dessinée jeunesse;1423.0;Lucien n'a pas de copains;Saint Mars, Dominique de
189.0;Bande dessinée jeunesse;1423.0;Ici Radio-casserole;Cohen, Jacqueline
192.0;Bande dessinée jeunesse;1410.0;Marlène grignote tout le temps;Saint-Mars, Dominique de
200.0;Bande dessinée jeunesse;1380.0;La maison de Max et Lili a été cambriolée;Saint Mars, Dominique de
218.0;Revue pour adulte;1343.0;Problèmes économiques : sélection de presse française et internationale;
221.0;Bande dessinée pour adulte;1336.0;Titeuf. 13. A la folie !;Zep
225.0;Bande dessinée jeunesse;1325.0;Griffes et plumes;Sobral, Patrick
230.0;Bande dessinée jeunesse;1309.0;Le père de Max et Lili est au chômage;Saint Mars, Dominique de
232.0;Bande dessinée jeunesse;1304.0;Versus inferno;Sobral, Patrick
235.0;Bande dessinée jeunesse;1280.0;"Max raconte des ""bobards""";Saint Mars, Dominique de
236.0;Bande dessinée jeunesse;1279.0;Alex est handicapé;Saint Mars, Dominique de
240.0;Bande dessinée jeunesse;1266.0;Coeur du passé;Sobral, Patrick
241.0;Bande dessinée jeunesse;1265.0;Le gardien;Sobral, Patrick
261.0;Bande dessinée jeunesse >12 ans;1191.0;Nadia se marie;Zep
284.0;Bande dessinée jeunesse;1112.0;L'as des pitres;Coppée, Thierry
287.0;Livre jeunesse;1111.0;La grande Schtroumpfette;Jost, Alain
291.0;Bande dessinée pour adulte;1092.0;Le domaine des dieux;Goscinny, René
294.0;Bande dessinée jeunesse;1077.0;Tom-Tom le roi de la tambouille;Cohen, Jacqueline
296.0;Bande dessinée jeunesse;1076.0;Le schtroumpf reporter;Parthoens, Luc
299.0;Nouveauté;1057.0;Rien ne s'oppose à la nuit : roman;Vigan, Delphine de
314.0;Bande dessinée jeunesse;1022.0;Le maître blagueur;Coppée, Thierry
317.0;Bande dessinée pour adulte;1018.0;L'île noire;Hergé
322.0;Bande dessinée jeunesse;1004.0;Apocalypse boy;Midam
336.0;Bande dessinée jeunesse;976.0;Sous les cahiers, la plage;Coppée, Thierry
353.0;Bande dessinée jeunesse;950.0;La galère d'Obélix;Uderzo, Albert
356.0;Revue pour adulte;944.0;Micro pratique : le magazine de la micro informatique à la maison;
364.0;Bande dessinée jeunesse;924.0;La rentrée des crasses;Coppée, Thierry
373.0;Bande dessinée jeunesse >12 ans;911.0;Fenetre sur cours;Pica
